code        ,Description                                                                                                                                                                                                                                        ,Alternative
OK260R      ,"DỤNG CỤ CẮT POLYP MŨI KRAUSE,GẬP GÓC,DÀI 250MM"                                                                                                                                                                                                   ,36-885-26-07
LX135S      ,Data Not Available                                                                                                                                                                                                                                 ,22-631-15-05
FK904R      ,"Dụng cụ gặm cột sống Kerrison, kiểu chuẩn, cong lên 130°, có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 5mm, ngàm mở 12mm, sử dụng cùng JF120R"                                                                                          ,24-978-33-07
FM252T      ,"Kẹp mang kim vi phẫu Diadust, ngàm phủ bụi kim cương, không có khóa cài, cán lõm, cán kiểu nhíp, chất liệu Titan, màu vàng chanh, dài 185mm, dùng cho chỉ tới 7/0"                                                                                ,20-022-18-09
DX534R      ,"Dụng cụ trám răng Ergoplant, thẳng, có dấu laser nhỏ mỗi 2mm và vùng an toàn 10mm đánh dấu laser lớn, dài 160mm, đường kính 4,2-4,8mm"                                                                                                            ,99-999-99-99
FB483R      ,"Kẹp phẫu tích và gắp chỉ De Bakey Atraumata, cong, ngàm có răng De Bakey, dài 240mm, ngàm dài 94mm"                                                                                                                                               ,24-421-24-07
OF358R      ,"Dụng cụ nạo xương tai Buck, số 2, cong, mũi tù, dài 150mm, đường kính 3mm"                                                                                                                                                                        ,36-497-12-07
GE635SU     ,"MŨI CẮT THẦN KINH HI-LINE XS III, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                               ,99-999-99-99
FL665R      ,"Cán đục, dùng cho lưỡi đục có thể tháo, chất liệu Peek, có khóa GB020R, dùng cho lưỡi FL666R - FL687R"                                                                                                                                            ,23-130-00-04
GE325SU     ,"LƯỠI CƯA SYNTHES, KÍCH THƯỚC 90/25/1,0MM"                                                                                                                                                                                                         ,99-999-99-99
GK194       ,"Cáp kết nối lưỡng cực, dài 3,5m, dùng để nối máy Bowa, EMC, Lamidey, Soering, Valleylab với dụng cụ Euro, hai chân phích cắm cách nhau 29mm"                                                                                                      ,80-287-89-04
JG251R      ,"Khay lưỡi bảo quản dụng cụ phẫu thuật, loại chuẩn 3/4, không có chân, kích thước 406 x 253 x 24 mm"                                                                                                                                               ,55-804-41-01
GA099       ,"Dụng cụ điều áp, tháo lắp nhanh"                                                                                                                                                                                                                  ,99-999-99-99
BM219R      ,"Kẹp mang kim Crile-Murray, thẳng, dài 150mm"                                                                                                                                                                                                      ,20-348-15-07
BV996R      ,"Banh sản khoa Gelpi, cong, 1 x 1 răng, nhọn, dài 135mm"                                                                                                                                                                                           ,15-802-13-07
BB524       ,"Lưỡi dao mổ tiệt trùng, số 24 , chất liệu thép carbon, hộp 100 chiếc"                                                                                                                                                                             ,10-155-22-04
FF444R      ,"Vén não Aachen, hai đầu, dễ uốn, dài 200mm, chiều rộng hai đầu 16mm, 17mm"                                                                                                                                                                        ,99-999-99-99
GE714R      ,"MŨI MÀI MỊN DIAMOND HI-LINE XS XL-I, ĐƯỜNG KÍNH 2,3MM"                                                                                                                                                                                            ,99-999-99-99
EB169R      ,"Thìa nạo sỏi mật Luer-Koerte, số 00, dễ uốn, dài 325mm, chiều rộng ngàm 3,40mm"                                                                                                                                                                   ,31-340-02-07
OL301R      ,"Dụng cụ đục xương Cottle, lưỡi vát hai bên, có thước đánh dấu độ sâu, dài 180mm, đầu rộng 4mm"                                                                                                                                                    ,37-608-04-07
PO767R      ,"Ruột kẹp phẫu tích nội soi đơn cực Adtec, thẳng, ngàm có khía chéo, hoạt động đôi, đầu tù, dài 370mm, đường kính ngàm 5mm"                                                                                                                        ,99-999-99-99
FO130R      ,"Kẹp giữ xương Fergusson, thẳng, dài 205mm, ngàm rộng 12mm"                                                                                                                                                                                        ,23-724-21-07
BH333R      ,"Kẹp mạch máu Spencer-Wells, cong, đầu tù, dài 130mm"                                                                                                                                                                                              ,13-249-13-07
FB582R      ,"Kẹp mạch máu không chấn thương Castaneda Atraumata, gập góc 45°, ngàm có răng De Bakey, dài 120mm, ngàm rộng 31mm"                                                                                                                                ,24-593-02-07
FD061R      ,"Kéo vi phẫu Yasargil, lưỡi cong lên, cán hình lưỡi lê, mũi nhọn/nhọn, cán có lỗ, dài 245mm, chiều dài hoạt động 120mm"                                                                                                                            ,24-850-28-07
FD219R      ,"Kẹp vi phẫu Yasargil, gập góc 90°, cán hình lưỡi lê, ngàm hình thìa có răng, cán có lỗ, dài 220mm, đường kính ngàm 3mm"                                                                                                                           ,99-999-99-99
JN092       ,"Hộp đựng và bảo quản dụng cụ phẫu thuật nha khoa, có lỗ thoát khí, kích thước ngoài 313 x 190 x 46mm, kích thước trong 277 x 176 x 20mm"                                                                                                          ,99-999-99-99
BT420R      ,"Banh tổ chức Blount, dài 175mm, kích thước lưỡi 40 x 4mm"                                                                                                                                                                                         ,23-567-17-07
GK394R      ,"Đầu điện cực đơn cực, hình móc, chất liệu gốm cách điện, hình chữ L, đường kính 5mm"                                                                                                                                                              ,99-999-99-99
DB663R      ,"Đầu dụng cụ thăm khám và cạo cao răng, dài 35mm"                                                                                                                                                                                                  ,99-999-99-99
FB488R      ,"Kẹp mạch máu không chấn thương Weber Atraumata, cong sang trái, ngàm có răng De Bakey, dài 260mm, ngàm dài 113mm, rộng 52mm"                                                                                                                      ,24-424-01-07
OG974R      ,"Ống hút vi phẫu, chóp kiểu Luer, đường kính 1mm, dùng cho ống hút đường kính 6-8mm, hộp 2 chiếc"                                                                                                                                                  ,18-642-20-07
BN140R      ,"Que thăm, thẳng, hai đầu, mũi tròn, dài 200mm, đường kính mũi 2mm"                                                                                                                                                                                ,16-100-20-01
MB687R      ,"Đục xương Hibbs, lưỡi vát hai bên, cong, dài 240mm, đầu rộng 13mm"                                                                                                                                                                                ,23-173-13-07
LX214R      ,Data Not Available                                                                                                                                                                                                                                 ,22-581-03-07
BC231W      ,"Kéo phẫu tích Durotip TC, cong, lưỡi gợn sóng, mũi tù/tù, cán vàng, dài 145mm"                                                                                                                                                                    ,11-903-14-07
EJ572P      ,"Van bản lề cho trocar sử dụng nhiều lần, chất liệu silicone, đường kính 13mm, hộp 20 chiếc"                                                                                                                                                       ,99-999-99-99
DP312R      ,"Kìm uốn chỉ thép Adams, dài 125mm, dùng cho chỉ thép có đường kính tới 0,7mm"                                                                                                                                                                     ,47-654-13-07
GE521SU     ,"MŨI CẮT HI-LINE XS II, ĐƯỜNG KÍNH 1MM"                                                                                                                                                                                                            ,99-999-99-99
BH124R      ,"Kẹp mạch máu Cairns, mảnh, thẳng, đầu tù, dài 150mm"                                                                                                                                                                                              ,13-334-16-07
DG320R      ,"Kìm nhổ chân răng hàm trên Anatomica, số 30"                                                                                                                                                                                                      ,40-023-00-07
FE043S      ,"Kẹp tĩnh mạch Mueller, cong sang bên, ngàm có răng De Bakey, lực đóng 3,40N"                                                                                                                                                                      ,99-999-99-99
LX100S      ,Data Not Available                                                                                                                                                                                                                                 ,22-623-10-05
FL187R      ,"Đục xương Partsch, lưỡi vát 1 bên, dài 170mm, lưỡi rộng 7mm"                                                                                                                                                                                      ,23-106-06-07
JG361       ,"Giá giữ trocar, kích thước 167 x 53 mm"                                                                                                                                                                                                           ,99-999-99-99
GP031R      ,"LƯỠI CƯA BĂNG NHỰA NỐI VỚI TAY CƯA AESCULAP, ĐK 65MM, K"                                                                                                                                                                                          ,21-553-65-07
OC480R      ,"Kéo vi phẫu mắt Mc Clure, thẳng, mũi nhọn/nhọn, cán dẹt, dài 95mm"                                                                                                                                                                                ,11-760-09-07
EA099R      ,"Kẹp gắp Allis Atraumata, thẳng, ngàm có răng De Bakey, dài 300mm, ngàm rộng 8,40mm"                                                                                                                                                               ,30-136-30-07
FB574R      ,"Kẹp phế quản không chấn thương Lees Atraumata, gập góc, ngàm có răng De Bakey, dài 245mm, ngàm dài 95mm"                                                                                                                                          ,24-429-25-07
BD500R      ,"Nhíp mô, mảnh, thẳng, ngàm có răng (1x2), dài 100mm"                                                                                                                                                                                              ,12-512-10-07
DO465R      ,"Banh má và mô mềm Obwegeser, lưỡi cong xuống, dài 215mm, kích thước 80 x 16 mm"                                                                                                                                                                   ,48-103-80-07
MB241       ,No Description Available                                                                                                                                                                                                                           ,24-344-24-07
PO220R      ,"Kẹp phẫu tích nội soi đơn cực Overholt, gập góc 60°, ngàm có khía, đầu rất mảnh, hoạt động đôi, dài 370mm, đường kính ngàm 10mm, bao gồm PM978R, PO773R, PO958R"                                                                                  ,99-999-99-99
OM671R      ,"Ống hút dịch vùng họng Yankauer, dài 285mm, đường kính 10mm, dùng cho ống hút có đường kính 7-9mm"                                                                                                                                                ,18-543-27-01
FB731R      ,"Kẹp mạch máu không chấn thương Cooley-Beck Atraumata, dùng cho trẻ em, cong nhiều, ngàm có răng Cooley, dài 150mm, ngàm dài 56mm, rộng 25mm"                                                                                                      ,99-999-99-99
BT512R      ,"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 160 x 30mm"                                                                                                                                                                                  ,15-559-16-07
DG542R      ,Kìm nhổ răng hàm dưới và răng số 8 bên phải Routurier Anatomica                                                                                                                                                                                    ,99-999-99-99
JG910       ,"Dụng cụ chống mờ hơi nước, đã tiệt trùng, hộp 20 chiếc"                                                                                                                                                                                           ,99-999-99-99
FB592R      ,"Kẹp nối mạch máu không chấn thương Castaneda Atraumata, dùng cho trẻ sơ sinh, cong, ngàm có răng De Bakey, dài 155mm, ngàm dài 56mm, rộng 23mm"                                                                                                   ,24-595-03-07
BH646R      ,"Kẹp cầm máu Kocher-Ochsner, thẳng, ngàm có răng 1x2, dài 200mm"                                                                                                                                                                                   ,13-414-20-07
BC273WB     ,"Kéo phẫu tích Toennis-Adson Wavecut Noir TC, mảnh, cong, lưỡi gợn sóng, mũi tù/tù, màu đen, cán vàng, dài 175mm"                                                                                                                                  ,11-921-17-07
BT351R      ,"Banh tổ chức Sauerbruch, cán đặc, dài 225mm, kích thước ngàm 46 x 16mm"                                                                                                                                                                           ,15-561-01-07
FC378R      ,No Description Available                                                                                                                                                                                                                           ,24-599-22-04
MB109R      ,Data Not Available                                                                                                                                                                                                                                 ,11-305-00-07
PO845SU     ,"Kẹp phẫu tích nội soi đơn cực dùng một lần Babcock Adtec Single Use hoàn chỉnh, có khóa cài, ngàm hoạt động đôi, đường kính 10mm, dài 310mm"                                                                                                      ,99-999-99-99
FB328R      ,"Kẹp Bulldog, loại nhỏ, thẳng, dài 35mm, ngàm dài 14mm"                                                                                                                                                                                            ,13-132-35-09
BC567R      ,Data Not Available                                                                                                                                                                                                                                 ,11-175-30-07
GE331SU     ,"LƯỠI CƯA STRYKER SYSTEM 6, KÍCH THƯỚC 90/19/1,27MM"                                                                                                                                                                                               ,99-999-99-99
PO891SU     ,DISP.SHAFT MARYLAND D:5/310MM                                                                                                                                                                                                                      ,99-999-99-99
FA060R      ,"Dụng cụ nạo tuyến yên Hardy, dáng lưỡi lê, cán tròn, mũi gập góc sang phải 90 °, mũi ngắn, hơi nhọn, đường kính 4mm, dài 280mm, chiều dài hoạt động 130mm"                                                                                        ,99-999-99-99
EA015R      ,"Kẹp phẫu tích mô Allis, ngàm có răng 4x5, dài 155mm"                                                                                                                                                                                              ,30-134-15-07
ET326R      ,"Kẹp tử cung/buồng trứng Saenger, thẳng, ngàm có răng, khớp vít, dài 275mm"                                                                                                                                                                        ,33-328-27-07
KY005S      ,Data Not Available                                                                                                                                                                                                                                 ,22-527-05-05
MB660R      ,"Đục xương Smith-Peterson, lưỡi vát hai bên, thẳng, dài 205mm, đầu rộng 17mm"                                                                                                                                                                      ,23-154-16-07
ER626R      ,"Dụng cụ nạo tử cung và buồng trứng Bumm, số 1, dễ uốn, đầu tù, dài 310mm, đầu rộng 23,50mm"                                                                                                                                                       ,32-927-23-07
FK646NR     ,"Thìa nạo xương, ngang 10 mm, dài 240 mm"                                                                                                                                                                                                          ,99-999-99-99
GE631SU     ,"MŨI CẮT THẦN KINH HI-LINE XS III, ĐƯỜNG KÍNH 1,8MM"                                                                                                                                                                                               ,99-999-99-99
RT055P      ,"Lõi Peek Unitrac, đường kính 3 - 7,50mm"                                                                                                                                                                                                          ,99-999-99-99
BB046R      ,"Cán dao mổ Titan, tròn, dài 135mm"                                                                                                                                                                                                                ,10-160-01-07
JG692R      ,"Kẹp cố định dụng cụ, kích thước 24 x 28 x 29 mm, đường kính 12-16 mm"                                                                                                                                                                             ,99-999-99-99
DB659T      ,"Cán dụng cụ thăm khám và cạo cao răng, Titannium, màu vàng, dài 100mm"                                                                                                                                                                            ,99-999-99-99
BD049R      ,"Kẹp phẫu tích, dài 160mm"                                                                                                                                                                                                                         ,12-100-16-07
FF326R      ,"Dụng cụ vi phẫu thần kinh Yasargil, đầu tù, dài 195mm, rộng 4mm"                                                                                                                                                                                  ,99-999-99-99
PG066       ,DISS ADAPTER F/CENTRAL GAS SUPPLY                                                                                                                                                                                                                  ,99-999-99-99
BC271R      ,"Kéo phẫu tích Metzenbaum Durotip TC, mảnh, cong, mũi tù/tù, cán vàng, dài 180mm"                                                                                                                                                                  ,11-961-18-07
OK037R      ,"BANH MŨI HARTMANN-HALE, KHỚP VÔ TRÙNG, LOẠI NGẮN, DÀI"                                                                                                                                                                                            ,36-845-01-07
BT185R      ,"Banh mạch máu vết thương Cushing, dài 205mm, kích thước lưỡi 14 x 18mm"                                                                                                                                                                           ,15-171-16-07
MF139R      ,Data Not Available                                                                                                                                                                                                                                 ,09-003-74-99
BT948R      ,"Banh tổ chức Mannerfelt (Modif.), lưỡi hình yên ngựa, cán tam giác, dài 155mm, kích thước 12 x 12mm"                                                                                                                                              ,15-091-12-07
EO342R      ,"Kẹp gắp Bonney, thẳng, dài 240mm"                                                                                                                                                                                                                 ,09-009-70-07
FC510R      ,Hệ thống banh động mạch vú IMA Atractor hoàn chỉnh                                                                                                                                                                                                 ,99-999-99-99
GN093       ,MÁY ĐO HUYẾT ÁP                                                                                                                                                                                                                                    ,99-999-99-99
OL307R      ,"Dụng cụ đục xương Cottle, lưỡi vát hai bên, có đầu bảo vệ và thước đánh dấu độ sâu, dài 180mm, đầu rộng 8mm"                                                                                                                                      ,37-609-06-07
FD868R      ,"Dao cắt khối u Samii, loại nhỏ, mũi gập góc, nhọn, cán tròn, dài 230mm, mũi rộng 6mm"                                                                                                                                                             ,24-854-12-07
EM711R      ,"Banh cổ tử cung Kogan, có khóa cài thước đo, có vít điều chỉnh, dài 240mm"                                                                                                                                                                        ,32-383-24-07
GE607R      ,"MŨI MÀI PHÁ ROSEN HI-LINE XS III, ĐƯỜNG KÍNH 4MM"                                                                                                                                                                                                 ,99-999-99-99
FF695R      ,"Dụng cụ gặm cột sống Kerrison, kiểu chuẩn, cong xuống dưới 130°, không có bộ phận đẩy mô, không tháo rời được, dài 230mm, ngàm rộng 5mm, ngàm mở 12mm, sử dụng cùng JF120R"                                                                       ,24-978-78-07
FB194R      ,No Description Available                                                                                                                                                                                                                           ,24-156-03-07
BT229R      ,"Banh vết thương Volkmann, 4 răng tù, dài 225mm, kích thước ngàm 8,5 x 19mm"                                                                                                                                                                       ,15-211-04-07
OP290R      ,"Dụng cụ đỡ ngực, cho người lớn, trẻ em"                                                                                                                                                                                                           ,09-006-54-07
MG082R      ,Data Not Available                                                                                                                                                                                                                                 ,13-108-18-07
FL415NR     ,"Đục xương lòng máng có tay cầm, ngang 15 mm, dài 240 mm"                                                                                                                                                                                          ,99-999-99-99
BM045R      ,"Kẹp mang kim Ryder Durogrip TC, thẳng, bước răng 0,40mm, dùng cho chỉ 4/0-6/0, dài 175mm"                                                                                                                                                         ,20-650-18-07
BD337R      ,"Nhíp gắp chỉ Vise, cong, mũi bằng, dài 135mm, ngàm rộng 0,30mm"                                                                                                                                                                                   ,12-561-45-07
BM290R      ,"Kẹp mang kim Hegar-Olsen, thẳng, ngàm răng cưa có rãnh dọc, 1 cán có vòng gập góc, dài 140mm"                                                                                                                                                     ,20-466-14-07
FB451R      ,"Kẹp ống động mạch không chấn thương De Bakey Atraumata, gập góc 15°, ngàm có răng De Bakey, dài 210mm, ngàm dài 51mm"                                                                                                                             ,24-403-21-07
FC062R      ,No Description Available                                                                                                                                                                                                                           ,24-183-06-07
EJ441R      ,"Trocar hoàn chỉnh, sử dụng nhiều lần, vở trơn, đầu tù, dùng cho nội soi ổ bụng, dài 100mm, đường kính 10mm, bao gồm các phần EJ750R; EJ432R; EJ430R; EJ433R"                                                                                      ,99-999-99-99
ER061R      ,"Kẹp sinh thiết Schumacher, cong, dài 240mm"                                                                                                                                                                                                       ,32-855-24-07
GK117R      ,No Description Available                                                                                                                                                                                                                           ,80-550-06-04
OG325R      ,"Kẹp phẫu tích tai, loại nhỏ, thẳng, ngàm có khía, kích thước ngàm 1,5 x 6 mm"                                                                                                                                                                     ,99-999-99-99
OG203R      ,"ĐỤC TRONG PT VI PHẪU TAI HEERMANN, LOẠI CỰC NHỎ, ĐẦU 0"                                                                                                                                                                                           ,99-999-99-99
BM950R      ,"Dụng cụ thắt chỉ, dài 230mm"                                                                                                                                                                                                                      ,20-886-23-07
JK398       ,"Nắp trong hộp đựng và bảo quản dụng cụ phẫu thuật, dòng cổ điển, loại chuẩn 1/1, màu vàng, kích thước 298 x 285 x 46mm"                                                                                                                           ,99-999-99-99
BC933R      ,"Kéo phẫu tích Kaye Supercut, cong, lưỡi gợn sóng, mặt ngoài lưỡi hơi sắc"                                                                                                                                                                         ,28-449-17-07
BL107N      ,"Kim khâu phẫu thuật, số 7, cong, mũi tam giác, dài 50mm, đường kính 1,10mm"                                                                                                                                                                       ,99-999-99-99
JB112R      ,Data Not Available                                                                                                                                                                                                                                 ,55-804-25-01
BV276R      ,"Banh phẫu thuật cột sống Beckmann-Eaton, có khớp, 7 x 7 răng, nhọn, có khóa cài, dài 320mm"                                                                                                                                                       ,15-778-32-07
PO958R      ,"Tay cầm cho dụng cụ nội soi đơn cực Adtec, loại chuẩn, chất liệu PEEK cách điện, không có khóa cài"                                                                                                                                               ,99-999-99-99
GB686R      ,GIÁ GÀI ECCOS GẮN CỐ ĐỊNH GB266R/GB266M/GB436R VÀO KHAY LƯỚI                                                                                                                                                                                       ,99-999-99-99
BC283R      ,"Kéo phẫu tích Lexer Durotip TC, bản hẹp, cong, mũi tù/tù, cán vàng, dài 165mm"                                                                                                                                                                    ,11-951-16-07
BN120R      ,"Dụng cụ nối gân, thẳng, hai đầu, mũi tròn, dài 200mm, đường kính mũi 1,50mm"                                                                                                                                                                      ,16-103-20-01
BC241R      ,Data Not Available                                                                                                                                                                                                                                 ,11-931-15-07
FB163R      ,"Que nong mạch máu De Bakey, dễ uốn, dài 190mm, đường kính 2mm"                                                                                                                                                                                    ,24-492-20-01
BF061R      ,"Kẹp bông băng Aesculap, cong, khớp hộp, có khóa cài, dài 220mm"                                                                                                                                                                                   ,14-101-22-07
DX560R      ,"Dụng cụ bẩy xương xoang Ergoplant, dài 200mm"                                                                                                                                                                                                     ,99-999-99-99
GB481R      ,GIÁ GÀI ECCOS GẮN CỐ ĐỊNH LƯỠI CƯA VÀO KHAY LƯỚI                                                                                                                                                                                                   ,99-999-99-99
GD126R      ,"MŨI MÀI MỊN DIAMOND, ĐƯỜNG KÍNH 1.8MM, KÍCH THƯỚC CHUÔI 2.35X95MM"                                                                                                                                                                                ,99-999-99-99
OP100R      ,"Kẹp polyp vùng họng Fraenkel, cong hình liềm, dài 205mm"                                                                                                                                                                                          ,99-999-99-99
FO193R      ,"Kẹp giữ xương Lowman-Hoglund, dài 175mm"                                                                                                                                                                                                          ,99-999-99-99
BL543N      ,"Kim khâu phẫu thuật, số 3, cong, mũi tròn, dài 36mm, đường kính 0,60mm"                                                                                                                                                                           ,20-176-03-04
FF775R      ,"Dụng cụ gặm xương Cushing, ngàm gập lên 150°, dài 130mm, kích thước ngàm 4 x 14mm"                                                                                                                                                                ,24-981-27-07
OF353R      ,"Dụng cụ nạo xương tai Buck, số 2, cong, mũi nhọn, dài 150mm, đường kính 3mm"                                                                                                                                                                      ,36-498-12-07
FB493R      ,"Kẹp động mạch không chấn thương Morris Atraumata, gập góc 70°, ngàm có răng De Bakey, 2x3 hàng răng, dài 175mm, ngàm dài 93mm"                                                                                                                    ,24-432-20-07
PL453SU     ,DS-SINGLE FIRE LIG.CLIP SM                                                                                                                                                                                                                         ,99-999-99-99
EA921R      ,"Kéo vi phẫu trực tràng Mueller, cong, một lưỡi có khía, mũi tù/tù, cán tròn có lỗ, dài 300mm"                                                                                                                                                     ,99-999-99-99
GF913R      ,"Ống hút House, kèm ống tưới rửa, dài 90mm, đường kính ống hút 1,50mm, dùng cho ống hút đường kính 6-9mm; đường kính ống tưới rửa 1,20mm, dùng cho vòi tưới rửa đường kính 4mm"                                                                    ,18-555-09-07
GK807R      ,"Kẹp lưỡng cực, thẳng, dài 175mm, ngàm rộng 1,10mm"                                                                                                                                                                                                ,80-924-16-04
GD721R      ,"LƯỠI CẮT LIDERMANN HI-LINE II, ĐƯỜNG KÍNH 16MM"                                                                                                                                                                                                   ,99-999-99-99
FF214R      ,"Vén não, hai đầu, dẹt, dễ uốn, dài 180mm, chiều rộng 2 đầu 18mm, 22mm"                                                                                                                                                                            ,09-003-71-99
SL118R      ,"Xi-lanh, cán bơm hình nạng, kèm đầu mang kim loại dài SL002R"                                                                                                                                                                                     ,42-602-00-02
BV201R      ,"Banh tự giữ Weitlaner, 3x4 răng tù, dài 195mm"                                                                                                                                                                                                    ,15-735-20-07
BN012R      ,"Que thăm Nelaton, cong, dài 160mm"                                                                                                                                                                                                                ,16-185-16-01
FB546R      ,No Description Available                                                                                                                                                                                                                           ,24-341-17-07
FB050R      ,Data Not Available                                                                                                                                                                                                                                 ,16-250-00-01
GA062R      ,"Khóa tháo lắp đầu nối mũi khoan Jacobs loại nhỏ, thích hợp cho GB108R, GB166R, GB181R, GB222R, GB383R, GB415R"                                                                                                                                    ,99-999-99-99
GE280SU     ,"MŨI MÀI PHÁ ROSEN HI-LINE XS XL-2, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                              ,99-999-99-99
FL408R      ,Data Not Available                                                                                                                                                                                                                                 ,23-134-30-04
DP569R      ,"Kéo cắt chỉ thép Beebe, cong, một lưỡi có khía, mũi tù/tù, dài 110mm"                                                                                                                                                                             ,11-879-12-07
FL438R      ,"Đục lòng máng, cong gập hình khuỷu tay, lưỡi cong lòng máng, dài 235mm, lưỡi rộng 8mm"                                                                                                                                                            ,99-999-99-99
GE684R      ,"MŨI DOA LÒNG TỦY, ĐƯỜNG KÍNH 17MM, LẮP VỚI THÂN GE666R"                                                                                                                                                                                           ,99-999-99-99
EM119R      ,"Que nong cổ tử cung Hegar, đầu hình chóp rất nhọn, dài 185mm, đường kính 19mm"                                                                                                                                                                    ,32-400-19-01
OF277R      ,"Dụng cụ lấy ráy tai Lucae, cỡ nhỏ, gập góc 90°, dài 140mm"                                                                                                                                                                                        ,36-577-01-07
JP122       ,No Description Available                                                                                                                                                                                                                           ,55-292-30-04
FC292R      ,No Description Available                                                                                                                                                                                                                           ,24-599-61-04
GB563R      ,GIÁ GÀI ECCOS GẮN CỐ ĐỊNH CÁC MŨI MÀI HI-LINE VÀO KHAY LƯỚI                                                                                                                                                                                        ,99-999-99-99
OM315R      ,"Dụng cụ nạo róc, cong sang phải, dài 140mm, đầu rộng 4mm"                                                                                                                                                                                         ,39-102-18-07
MB712R      ,Data Not Available                                                                                                                                                                                                                                 ,23-176-25-07
