MÔ TẢ                                                                                                                                                                                                                                              ,AESC        ,KLS
                                                                                                                                                                                                                                                   ,FC520R      ,99-999-99-99
"Kẹp lưỡng cực, thẳng, hình lưỡi lê, dài 230mm, chiều dài sử dụng 115mm, ngàm rộng 1,30mm"                                                                                                                                                         ,GK848R      ,80-981-04-04
#N/A                                                                                                                                                                                                                                               ,MG130R      ,09-008-93-07
"Nắp trong hộp đựng và bảo quản dụng cụ phẫu thuật, dòng cổ điển, loại chuẩn 3/4, màu xanh da trời, kích thước 465 x 285 x 36mm"                                                                                                                   ,JK786       ,55-290-47-04
"Nắp cho trocar sử dụng nhiều lần, màu vàng, đường kính 13mm, dài 165mm, sử dụng cùng EJ581R; EJ580R"                                                                                                                                              ,EJ602R      ,99-999-99-99
"BANH CUSHING-LANDOLT DÙNG TRONG PHẪU THUẬT TUYẾN YÊN, K"                                                                                                                                                                                          ,OK100R      ,24-999-07-07
"Banh Kay (Austin), dài 140mm"                                                                                                                                                                                                                     ,DO473R      ,0
#N/A                                                                                                                                                                                                                                               ,MA577R      ,99-999-99-99
"Kẹp mang kim Gillies Durogrip TC, gập góc, bước răng 0,40mm, một cán có vòng gập góc, dùng cho chỉ 4/0-6/0, dài 160mm"                                                                                                                            ,BM129R      ,20-673-16-07
"Giũa xương Miller, hai đầu, dài 180mm, lưỡi rộng 5mm, 8mm"                                                                                                                                                                                        ,DO771R      ,23-490-01-07
"Banh Bowdler-Henry, dài 170mm"                                                                                                                                                                                                                    ,DO470R      ,0
#N/A                                                                                                                                                                                                                                               ,MF145R      ,99-999-99-99
                                                                                                                                                                                                                                                   ,GP166R      ,99-999-99-99
"Đục xương Lambotte thẳng, ngang 4 mm, dài 300 mm"                                                                                                                                                                                                 ,FL800R      ,0
Khung hệ thống banh phẫu thuật tim không chấn thương Atractor cơ bản                                                                                                                                                                               ,FC501R      ,99-999-99-99
"Dụng cụ bẩy chân răng, cỡ 175/176, hai đầu, gập góc, hình thìa, tay cầm sáu cạnh, dài 170mm, đường kính đầu 1,50mm"                                                                                                                               ,DC275R      ,43-487-26-07
"Ruột kẹp phẫu tích nội soi đơn cực Adtec, thẳng, ngàm thon nhọn, có khía sắc, hoạt động đôi, dài 310mm, đường kính ngàm 5mm"                                                                                                                      ,PO678R      ,0
"Đục xương lòng máng có tay cầm, ngang 15 mm, dài 400 mm"                                                                                                                                                                                          ,FL935NR     ,0
"Lưới silicone làm khô ráo và chống va đập dụng cụ phẫu thuật, cỡ chuẩn 3/4, kích thước  402 x 250 mm"                                                                                                                                             ,JF940       ,55-807-42-04
"Banh âm đạo Breisky, kiểu Vienna, dài 300mm, kích thước 100 x 20 mm"                                                                                                                                                                              ,EL703R      ,32-323-20-07
                                                                                                                                                                                                                                                   ,JG394       ,0
"Dụng cụ nạo, số 0, dáng lưỡi lê, mũi nhọn, gập về sau, dài 215mm, chiều dài hoạt động 80mm"                                                                                                                                                       ,MF266R      ,23-997-30-07
"Dao vi phẫu thép carbon, số 64, cán nhựa, màu xanh da trời, hộp 5 chiếc"                                                                                                                                                                          ,BA365       ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,DO449R      ,0
#N/A                                                                                                                                                                                                                                               ,MG511R      ,0
INFUSION BOTTLE HOLDER                                                                                                                                                                                                                             ,PV823       ,0
"Dụng cụ gặm đĩa đệm Caspar, thẳng, ngàm có khía, dài 185mm, kích thước ngàm 3 x 12mm"                                                                                                                                                             ,FF563R      ,09-010-50-07
"Lưỡi banh Kelly Muenster, kích thước 220 x 70mm"                                                                                                                                                                                                  ,BV966R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MN077R      ,99-999-99-99
"Lưỡi dao thay thế cho tay dao bào da BA713R, hộp 10 chiếc"                                                                                                                                                                                        ,BA714R      ,10-878-01-07
"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 100 x 20mm"                                                                                                                                                                                  ,BT509R      ,15-559-10-07
#N/A                                                                                                                                                                                                                                               ,MA360R      ,20-300-11-07
#N/A                                                                                                                                                                                                                                               ,MB962A      ,0
"Dụng cụ nạo, số 1, dáng lưỡi lê, mũi nhọn, gập về trước, dài 240mm, chiều dài hoạt động 105mm"                                                                                                                                                    ,MF300R      ,23-998-11-07
#N/A                                                                                                                                                                                                                                               ,MG183R      ,99-999-99-99
"Khay lưỡi bảo quản dụng cụ phẫu thuật, loại chuẩn 1/1, không có chân, kích thước 243 x 253 x 44 mm"                                                                                                                                               ,JG112R      ,55-804-25-01
"Đầu ngàm kẹp phẩu thuật DEBAKEY, ngàm DeBekey 2x3 răng, thẳng, dài 43 mm mở 2 bên, đường kính 7 mm, chiều dài sử dụng 250 mm"                                                                                                                     ,FC874R      ,0
"Kéo phẫu thuật, loại chuẩn, thẳng, mũi nhọn/tù, dài 175mm"                                                                                                                                                                                        ,BC327R      ,11-102-18-07
#N/A                                                                                                                                                                                                                                               ,MD579R      ,32-460-10-01
Giá đỡ tay khoan                                                                                                                                                                                                                                   ,GB257R      ,0
"Móc cửa sổ tai giữa Shambaugh, gập góc 90°,  dài 160mm, mũi rộng 1mm"                                                                                                                                                                             ,OG014R      ,36-024-23-07
TWIN CASTER KIT W/CABLE ROLL-OVER PROT.                                                                                                                                                                                                            ,PV838       ,0
#N/A                                                                                                                                                                                                                                               ,AD099R      ,99-999-99-99
"Banh âm đạo Breisky, kiểu Vienna, dài 320mm, kích thước 130 x 30 mm"                                                                                                                                                                              ,EL695R      ,32-324-30-07
"Kẹp mang kim Barraquer,   thẳng, ngàm trơn, cán tròn, không có khóa cài, cán kiểu nhíp, dài 120mm, dùng cho chỉ 9/0-11/0"                                                                                                                         ,FD230R      ,20-298-10-07
#N/A                                                                                                                                                                                                                                               ,MF425R      ,99-999-99-99
"Kẹp sản khoa Wrigley, cong, dài 250mm"                                                                                                                                                                                                            ,ET246R      ,33-146-28-07
"Kẹp mang kim vi phẫu Castroviejo Durogrip TC,  thẳng, cán dẹt kiểu nhíp, có khóa cài, bước răng 0,20mm, dùng cho chỉ 6/0-10/0, dài 145mm"                                                                                                         ,BM002R      ,20-620-00-07
"Dụng cụ róc xương Lambotte, cong, đầu nhọn, dài 215mm, đầu rộng 10mm"                                                                                                                                                                             ,FK356R      ,23-461-10-07
"BANH BỤNG, 25X330MM"                                                                                                                                                                                                                              ,BT756R      ,09-006-72-07
#N/A                                                                                                                                                                                                                                               ,MD387R      ,0
"Dụng cụ đặt clip, cỡ trung bình, gập góc 25°, cán màu xanh da trời, dài 200mm, sử dụng cho clip PL567T"                                                                                                                                           ,FB235R      ,09-005-58-07
"Thanh kiểm tra độ sắc của dụng cụ nha khoa, hộp 6 chiếc"                                                                                                                                                                                          ,DB086       ,99-999-99-99
"Nắp hộp đựng dụng cụ, loại chuẩn, cỡ 1/1, có lẫy mở, kích thước 586 x 280 x 36mm"                                                                                                                                                                 ,JK267R      ,99-999-99-99
"Banh tổ chức Brunner, dài 275mm, kích thước hai lưỡi 180 x 30mm"                                                                                                                                                                                  ,BT530R      ,15-558-18-07
"Kìm gặm xương Sauerbruch-Coryllos, thẳng, ngàm tròn, hoạt động kép, dài 310mm"                                                                                                                                                                    ,FO570R      ,99-999-99-99
"Lưỡi cưa thay thế  Satterlee, sử dụng cùng cưa FH325R"                                                                                                                                                                                            ,FH326R      ,09-004-54-07
#N/A                                                                                                                                                                                                                                               ,MA240R      ,99-999-99-99
"LƯỠI CẮT AMIĐAN CÓ ĐỤC LỖ LA FORCE, LOẠI NHỎ, DÙNG C"                                                                                                                                                                                             ,OM406R      ,99-999-99-99
"Kẹp mạch máu không chấn thương Cooley Atraumata, dùng cho trẻ em, gập góc 90°, ngàm có răng Cooley, dài 165mm, ngàm dài 76mm, rộng 28mm"                                                                                                          ,FB722R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MA535R      ,99-999-99-99
"LƯỠI DAO BÀO DA DÀNH CHO DAO WAGNER, ĐÃ TIỆT TRÙNG, HỘP 10 CÁI"                                                                                                                                                                                   ,GB228R      ,99-999-99-99
"Kẹp mang kim vi phẫu Diadust, thẳng, ngàm phủ bụi kim cương, cán tròn, không có khóa cài, cán kiểu nhíp, màu vàng, dài 210mm, dùng cho chỉ tới 5/0"                                                                                               ,FM531R      ,20-012-21-07
"Đục lòng máng Zielke dùng trong phẫu thuật nắn chỉnh cột sống, cong, tay cầm chất liệu Peek, dài 230mm, lưỡi rộng 5,50mm"                                                                                                                         ,FL701R      ,23-112-05-04
#N/A                                                                                                                                                                                                                                               ,MA498R      ,99-999-99-99
Tay giữ hỗ trợ dùng cho vén não                                                                                                                                                                                                                    ,FF273R      ,24-702-08-07
"Ống hút Magill, dài 245mm, đường kính 4mm"                                                                                                                                                                                                        ,GF908R      ,18-541-40-01
"Kẹp phẫu tích tử cung Museux, cong về bên, ngàm có răng (2x2), khớp vít, dài 240mm"                                                                                                                                                               ,EO225R      ,32-702-24-07
"Kim phẫu thuật, thẳng, cỡ 13GA, thân tròn, rộng 2,40mm, dài 90mm"                                                                                                                                                                                 ,MD610       ,18-611-30-07
"Bộ trocar có bóng khí dùng 1 lần, đầu nòng với hai chế độ bật được dao/tù, có vòng giữ, đường kính 11mm, van dùng chung cho dụng cụ từ 5-11mm, dài 100mm, hộp 5 cái"                                                                              ,EK507SU     ,0
"Dụng cụ thăm khám và cạo cao răng Gracey (After) Anatomic Colours, số 3/4, hai đầu, gập góc, tay cầm tiện lợi chất liệu Peek, màu đen, dài 170mm"                                                                                                 ,DB591R      ,43-336-04-07
#N/A                                                                                                                                                                                                                                               ,MA135R      ,99-999-99-99
"MŨI MÀI MỊN DIAMOND HI-LINE II, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                                 ,GD796R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MA222R      ,99-999-99-99
"Kẹp mạch máu không chấn thương Dick Atraumata, gập góc, ngàm có răng De Bakey, khớp vít, dài 255mm"                                                                                                                                               ,FB956R      ,99-999-99-99
"Kéo phẫu tích De Bakey, mảnh, cong, mũi tù/tù, dài 175mm"                                                                                                                                                                                         ,BC629R      ,11-316-17-07
"Kẹp tử cung Wertheim Atraumata, cong nhiều, ngàm có răng De Bakey, dài 220mm"                                                                                                                                                                     ,BJ553R      ,13-637-30-07
"Vén não, chất liệu silicon, hai đầu, dễ uốn, dài 200mm, rộng 6mm, hộp 10 chiếc"                                                                                                                                                                   ,FF480R      ,99-999-99-99
"MŨI MÀI MỊN DIAMOND, ĐƯỜNG KÍNH 2.7MM, KÍCH THƯỚC CHUÔI 2.35X95MM"                                                                                                                                                                                ,GD128R      ,99-999-99-99
"Kim khâu phẫu thuật, số 11, cong, mũi tròn, dài 34mm, đường kính 0,80mm"                                                                                                                                                                          ,BL071N      ,99-999-99-99
                                                                                                                                                                                                                                                   ,GP302TC     ,99-999-99-99
"32"" FULL HD 3D MONITOR"                                                                                                                                                                                                                          ,PV646       ,0
#N/A                                                                                                                                                                                                                                               ,DX646T      ,0
"MŨI MÀI MỊN DIAMOND HI-LINE XS II, ĐƯỜNG KÍNH 6MM"                                                                                                                                                                                                ,GE519SU     ,99-999-99-99
"Lưỡi banh tự giữ Scoville-Haverfield, dùng trong phẫu thuật cột sống, có 4 răng, tù, kích thước 63 x 51mm"                                                                                                                                        ,BV406R      ,15-906-12-07
"Thìa nạo tử cung Simon, số 1, đầu nhọn, dài 240mm, đầu rộng 6,80mm"                                                                                                                                                                               ,ER101R      ,32-900-01-07
#N/A                                                                                                                                                                                                                                               ,MG143R      ,32-921-07-07
"Nhíp mô Adson, mảnh, thẳng, ngàm có răng (1x2), dài 120mm"                                                                                                                                                                                        ,BD507R      ,09-003-53-07
"Đục xương, lưỡi vát 1 bên, cong, tay cầm chất liệu Peek, dài 200mm, lưỡi rộng 15mm"                                                                                                                                                               ,DO753R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MD658R      ,0
"Kẹp phẩu thuật BIOPSY, ngàm dài 14 mm, mở 2 bên,  cong 30°, đường kính 7mm, chiều dài sử dụng 250 mm"                                                                                                                                             ,FC820R      ,0
"Dụng cụ nạo xương Caspar, đầu gập góc, có răng,  mũi hình vuông, tay cầm chất liệu Peek, dài 220mm, rộng 4mm"                                                                                                                                     ,FK834R      ,99-999-99-99
Xi-lanh kèm đầu mang kim loại dài SL002R                                                                                                                                                                                                           ,SL022R      ,0
"Gương soi thanh quản, số 1, dài 120mm, đường kính 12mm"                                                                                                                                                                                           ,AC471R      ,39-786-12-04
"Kẹp vi phẫu De Bakey, thẳng, ngàm có răng De Bakey, cán tròn, dài 210mm, ngàm rộng 1mm"                                                                                                                                                           ,FM591R      ,12-589-21-07
"Dụng cụ trám răng, hai đầu, gập góc 2 lần, tay cầm chất liệu Peek, màu xanh lá cây, dài 175mm, đường kính hai đầu 2,5mm; 2,0mm"                                                                                                                   ,DE058R      ,0
#N/A                                                                                                                                                                                                                                               ,MA780R      ,0
"Điện cực đơn cực, thẳng, thân dài, dùng trong cắt bỏ cổ tử cung, dài 128mm, đường kính 4mm, vòng dây đường kính 10mm, đầu dài 10mm"                                                                                                               ,GK131R      ,80-680-12-04
"Kẹp giữu chỉ Millin, cong về bên, dài 245mm"                                                                                                                                                                                                      ,EF168R      ,99-999-99-99
"Kim khâu phẫu thuật, số 1, cong, mũi tròn, dài 80mm, đường kính 1,40mm"                                                                                                                                                                           ,BL161N      ,20-127-01-04
"Dụng cụ đè lưỡi không kèm cán Davis-Boyle, kích thước 25 x 62  mm"                                                                                                                                                                                ,OM112R      ,38-212-04-07
"MŨI MÀI MỊNH DIAMOND HI-LINE NGẮN, ĐƯỜNG KÍNH 6MM"                                                                                                                                                                                                ,GD832R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,FD848B      ,0
                                                                                                                                                                                                                                                   ,GK823R      ,0
"Nhíp vi phẫu, loại Jeweler, thẳng, dài 110mm, ngàm rộng 0,15mm"                                                                                                                                                                                   ,BD331R      ,12-414-11-07
                                                                                                                                                                                                                                                   ,FD841B      ,99-999-99-99
"MŨI CẮT THẦN KINH WOLFRAM CARBID HI-LINE XS III, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                ,GE635TC-SU  ,99-999-99-99
"Dụng cụ trám răng Hollenback, số 1/1, hai đầu, gập góc, tay cầm sáu cạnh, dài 175mm"                                                                                                                                                              ,DE427R      ,0
"Trocar trong suốt có bóng khí dùng 1 lần, có vòng giữ, đường kính 5mm, dài 70mm, hộp 5 cái"                                                                                                                                                       ,EK500SU     ,0
"Banh tổ chức Richardson-Eastman, loại lớn, hai đầu, dài 270mm, kích thước hai lưỡi 38 x 37mm, 64 x 43mm"                                                                                                                                          ,BT472R      ,15-381-02-01
"Kẹp gắp bông băng Rampley, cong, dài 250mm"                                                                                                                                                                                                       ,BF118R      ,32-744-27-07
#N/A                                                                                                                                                                                                                                               ,FK986B      ,24-978-15-14
                                                                                                                                                                                                                                                   ,GF262R      ,99-999-99-99
"Kéo vi phẫu Sensation, thẳng, tay cầm hình lưỡi lê, cán nhựa tròn, màu xanh da trời, mũi nhọn/nhọn, dài 195mm, chiều dài sử dụng 70mm"                                                                                                            ,FM120R      ,99-999-99-99
"Trocar dùng 1 lần, có vòng giữ, đầu nòng tách cơ, đường kính 5mm, dài 70mm, hộp 5 cái"                                                                                                                                                            ,EK510SU     ,0
#N/A                                                                                                                                                                                                                                               ,MA270R      ,99-999-99-99
"MŨI MÀI PHÁ ROSEN HI-LINE XS III, ĐƯỜNG KÍNH 6MM"                                                                                                                                                                                                 ,GE609R      ,99-999-99-99
"Nạo xương Bruns, số 2, thẳng, đầu rộng 4,80mm, dài 230mm"                                                                                                                                                                                         ,MB876R      ,23-335-02-07
                                                                                                                                                                                                                                                   ,GK292SU     ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,OM015R      ,99-999-99-99
TAY KHOAN MÀI VI PHẪU CAO TỐC SIÊU NHỎ THẲNG  HI-LINE XXS SỐ III                                                                                                                                                                                   ,GB793R      ,99-999-99-99
"Banh âm đạo Kristeller, cho trẻ em, bộ gồm lưỡi banh trên và dưới, dài 170mm, kích thước  70 x 15 mm"                                                                                                                                             ,EL420R      ,09-007-10-07
"Dụng cụ đục xương Cottle, lưỡi vát hai bên, có thước đánh dấu độ sâu, dài 180mm, đầu rộng 4mm"                                                                                                                                                    ,OL294R      ,37-606-04-07
                                                                                                                                                                                                                                                   ,DB514R      ,0
#N/A                                                                                                                                                                                                                                               ,KY002S      ,22-527-02-05
Đầu nối Harris với chuôi AO                                                                                                                                                                                                                        ,GB184R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MB718R      ,23-177-13-07
"Kéo vi phẫu Yasargil, thẳng, cán hình lưỡi lê, mũi nhọn/nhọn, cán có lỗ, dài 165mm, chiều dài hoạt động 55mm"                                                                                                                                     ,FD030R      ,24-850-20-07
"Kẹp phẫu tích nội soi đơn cực Adtec Monopolar, thẳng, ngàm có khía thô, hoạt động đôi, có hốc, dài 310mm, đường kính ngàm 5mm, sử dụng cùng PM973R, PO774R, PO959R"                                                                               ,PO221R      ,0
"Đục xương có tay cầm, ngang 10 mm, dài 300 mm"                                                                                                                                                                                                    ,FL823NR     ,0
"MŨI MÀI THÔ DIAMOND HI-LINE III, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                                ,GD696R      ,99-999-99-99
"Dụng cụ bóc tách mô mềm, cong nhẹ, mũi tròn, dài 160mm, mũi rộng 1,80mm"                                                                                                                                                                          ,OG051R      ,36-036-23-07
"Bẩy xương Chandler, cong, đầu tù, rất lớn, rộng 14mm, dài 255mm"                                                                                                                                                                                  ,MB278R      ,99-999-99-99
"Nhãn nhận biết dùng 1 lần, có ghi số, chiều dài 40mm, chiều rộng 35mm, chiều cao 9mm"                                                                                                                                                             ,JG675B      ,55-996-27-01
"Kìm gặm xương Luer, thẳng, dài 175mm"                                                                                                                                                                                                             ,FO460R      ,23-846-17-07
#N/A                                                                                                                                                                                                                                               ,MA789R      ,0
#N/A                                                                                                                                                                                                                                               ,LX240R      ,22-589-18-07
                                                                                                                                                                                                                                                   ,GF273R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MG356R      ,12-234-17-07
"Kẹp cầm máu lưỡng cực, thẳng, dài 160mm, ngàm rộng 1,10mm"                                                                                                                                                                                        ,GK701R      ,80-924-16-04
#N/A                                                                                                                                                                                                                                               ,BL929R      ,99-999-99-99
"Kẹp giữ xương Hey-Groves, có vít khóa, dài 210mm, ngàm rộng 6,50mm"                                                                                                                                                                               ,FO144R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MN013R      ,99-999-99-99
"MŨI CẮT THẦN KINH HI-LINE XXS II, ĐƯỜNG KÍNH 5MM"                                                                                                                                                                                                 ,GE815SU     ,99-999-99-99
"Que thăm, thẳng, dài 160mm"                                                                                                                                                                                                                       ,BN006R      ,16-160-16-01
#N/A                                                                                                                                                                                                                                               ,MF106R      ,99-999-99-99
                                                                                                                                                                                                                                                   ,FD701B      ,99-999-99-99
"MŨI MÀI HÌNH TRỤ TRÒN HI-LINE XS III, ĐƯỜNG KÍNH 6MM"                                                                                                                                                                                             ,GE650SU     ,99-999-99-99
"Dụng cụ vén động mạch chủ Ross, số 3, dài 255mm, kích thước ngàm 24 x 17mm"                                                                                                                                                                       ,MB700R      ,15-563-03-07
"Nhíp mô, rất mảnh, cong, ngàm có răng (1x2), dài 100mm"                                                                                                                                                                                           ,OC025R      ,12-513-10-07
#N/A                                                                                                                                                                                                                                               ,MA873R      ,0
"Kẹp Bulldog không chấn thương De Bakey Atraumata, loại nhỏ, gập góc, ngàm có răng De Bakey, dài 73mm, ngàm dài 38mm, rộng 21mm"                                                                                                                   ,FB357R      ,24-291-07-07
"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 180 x 30mm"                                                                                                                                                                                  ,BT513R      ,15-559-18-07
"Nắp trong hộp đựng và bảo quản dụng cụ phẫu thuật, dòng cổ điển, loại chuẩn 3/4, màu đỏ, kích thước 465 x 285 x 36mm"                                                                                                                             ,JK785       ,55-290-47-04
"Cây nong cô tử cung Pratt, hai đầu, số 29-31, dài 290mm"                                                                                                                                                                                          ,EM275R      ,99-999-99-99
"Trocar dùng 1 lần, đầu nòng tách cơ, bao gồm 2 vỏ và 1 nòng, đường kính 12mm, van dùng chung cho dụng cụ từ 5-12mm, dài 100mm, hộp 5 cái"                                                                                                         ,EK583SU     ,0
"Cán dao mổ, số 3, có thước đo, dài 125mm"                                                                                                                                                                                                         ,BB074R      ,10-130-05-07
"Kẹp mang kim Wangensteen, thẳng, ngàm mảnh, dài 275mm"                                                                                                                                                                                            ,BM272R      ,20-420-27-07
#N/A                                                                                                                                                                                                                                               ,DO404R      ,99-999-99-99
"Kẹp săng Thomas, cong, đầu bằng, không gây khuyết, dài 135mm"                                                                                                                                                                                     ,BF459R      ,13-923-14-07
"Thanh chia khay và khay lưới, kích thước 110 x 15 x 28 mm"                                                                                                                                                                                        ,JF921R      ,0
