MÔ TẢ                                                                                                                                                                                                                                              ,AESC        ,KLS
"Kẹp mang kim Mathieu Durogrip TC, kiểu khỏe, thẳng, bước răng 0,50mm, tay cầm và khóa cài kiểu Mathieu, dùng cho chỉ tới 3/0, dài 200mm"                                                                                                          ,BM156R      ,20-678-20-07
"ĐẦU NỐI MŨI KHOAN ACCULAN 3TI CHUÔI LỤC GIÁC,  TÔC ĐỘ 0-1000 VÒNG/PHÚT, MÔ MEN QUAY 5NM"                                                                                                                                                          ,GB636R      ,99-999-99-99
"Que nong cổ tử cung Hegar, đầu hình chóp rất nhọn, dài 185mm, đường kính 20mm"                                                                                                                                                                    ,EM120R      ,32-400-20-01
"Dụng cụ gặm cột sống Kerrison, kiểu chuẩn, cong xuống dưới 130°, không có bộ phận đẩy mô, không tháo rời được, dài 230mm, ngàm rộng 2mm, ngàm mở 9mm, sử dụng cùng JF120R"                                                                        ,FF692R      ,24-978-60-07
"Dụng cụ gặm cột sống Kerrison Noir, kiểu chuẩn, cong lên 90°, có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 6mm, ngàm mở 12mm"                                                                                                           ,FK953B      ,24-978-42-14
"Kẹp cầm máu Rochester-Pean, thẳng, đầu tù, dài 350mm"                                                                                                                                                                                             ,BH456R      ,99-999-99-99
DS-SINGLE FIRE APPLIER ML 280MM 65Â°                                                                                                                                                                                                               ,FC208R      ,99-999-99-99
"Vỏ ống kim loại bên trong, chiều dài 31cm"                                                                                                                                                                                                        ,PM600201    ,0
"Dụng cụ gặm xương Kerrison, kiểu mỏng, cong lên trên 130°, không có bộ phận đẩy mô, không tháo rời được, dài 200mm, ngàm rộng 1,50mm, ngàm mở 9mm, sử dụng cùng JF120R"                                                                           ,FF658R      ,99-999-99-99
"Thìa nạo xương Schede, số 4, dài 170mm, đầu rộng 8mm"                                                                                                                                                                                             ,FK627R      ,23-301-04-07
                                                                                                                                                                                                                                                   ,FD741B      ,99-999-99-99
"Nhíp phẫu tích Gillies, mảnh, thẳng, ngàm có khía, dài 150mm"                                                                                                                                                                                     ,BD213R      ,09-004-77-07
"Kéo vi phẫu Sensation, thẳng, tay cầm hình lưỡi lê, cán nhựa tròn, màu xanh da trời, mũi tù/tù, dài 215mm, chiều dài sử dụng 90mm"                                                                                                                ,FM142R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MD656R      ,0
#N/A                                                                                                                                                                                                                                               ,MG270R      ,99-999-99-99
"Dụng cụ đánh bóng răng, chất liệu composite, hai đầu, gập góc, tay cầm tiện lợi, chất liệu Peek, màu xanh da trời, dài 175mm"                                                                                                                     ,DF259R      ,0
"Đục xương Lambotte thẳng, ngang 6 mm, dài 300 mm"                                                                                                                                                                                                 ,FL813R      ,0
#N/A                                                                                                                                                                                                                                               ,MD312R      ,0
"MŨI CẮT THẦN KINH HI-LINE XXS II, ĐƯỜNG KÍNH 3MM"                                                                                                                                                                                                 ,GE813SU     ,99-999-99-99
"Dụng cụ nậy xương, cong, dài 160mm, rộng 2mm/8mm"                                                                                                                                                                                                 ,FK118R      ,23-539-08-07
#N/A                                                                                                                                                                                                                                               ,MG267R      ,99-999-99-99
"Kéo phẫu tích, mảnh, cong, mũi tù/tù, cán lớn, dài 115mm"                                                                                                                                                                                         ,BC021R      ,11-691-11-07
"Dụng cụ nạo V.A Beckmann, số 3, dài 220mm"                                                                                                                                                                                                        ,OM503R      ,37-755-04-07
